Date,Moco cases,20853 cases
3/5,3,
3/6,3,
3/7,3,
3/8,4,
3/9,4,
3/10,5,
3/11,6,
3/12,6,
3/13,6,
3/14,10,
3/15,12,
3/16,15,
3/17,24,
3/18,31,
3/19,33,
3/20,51,
3/21,68,
3/22,83,
3/23,93,
3/24,107,
3/25,127,
3/26,164,
3/27,208,
3/28,255,
3/29,301,
3/30,341,
3/31,388,
4/1,447,
4/2,498,
4/3,566,
4/4,640,
4/5,693,
4/6,793,
4/7,871,
4/8,1088,
4/9,1214,
4/10,1388,
4/11,1537,
4/12,1631,52
4/13,1756,54
4/14,1883,56
4/15,1933,57
4/16,2133,62
4/17,2280,65
4/18,2404,67
4/19,2507,68
4/20,2647,73
4/21,2768,73
4/22,2868,76
4/23,3060,81
4/24,3227,85
4/25,3483,91
4/26,3645,94
4/27,3843,114
4/28,4003,118
4/29,4152,120
4/30,4300,121
5/1,4754,132
5/2,4919,138
5/3,5150,143
5/4,5384,152
5/5,5541,152
5/6,5790,164
5/7,6032,167
5/8,6316,174
5/9,6555,182
5/10,6762,186
5/11,6909,191
5/12,7130,195
5/13,7283,203
5/14,7548,208
5/15,7759,214
5/16,7988,225
5/17,8206,236
5/18,8417,240
5/19,8950,266
5/20,9052,275
5/21,9260,292
5/22,9432,295
5/23,9699,303
5/24,9922,309
5/25,10111,318
5/26,10291,321
5/27,10467,322
5/28,10752,328
5/29,11035,345
5/30,11251,358
5/31,11361,365
6/1,11476,370
6/2,11731,376
6/3,11924,383
6/4,12226,389
6/5,12434,397
6/6,12624,401
6/7,12734,412
6/8,12818,415
6/9,12968,420
6/10,13124,430
6/11,,
6/12,,
6/13,,
6/14,,
6/15,,
6/16,,
6/17,,
6/18,,
6/19,,
6/20,,
6/21,,
6/22,,
6/23,,
6/24,,
